# Logfile created on 2026-02-26 17:58:10 +0100 by logger.rb/v1.5.3
2026-02-26 17:58:10 +0100: Memory Usage (437028K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/chipathon_2025/designs/ihp-sg13g2/edge_detector/gds/edge_detector.gds
2026-02-26 17:58:10 +0100: Memory Usage (437028K) : Ruby Version for klayout: 3.2.3
2026-02-26 17:58:10 +0100: Memory Usage (438436K) : Loading database to memory is complete.
2026-02-26 17:58:10 +0100: Memory Usage (438564K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/chipathon_2025/designs/ihp-sg13g2/edge_detector/runs/RUN_2026-02-26_17-44-04/parameters/klayout_drc_full/edge_detector_edge_detector_main.lyrdb
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : Evaluate switches.
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : tables selected: main
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : KLayout will use 1 thread(s) in tiled mode.
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : flat mode is enabled.
2026-02-26 17:58:10 +0100: Memory Usage (443940K) : metal2_iprobe has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444068K) : metal2_diffprb has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444196K) : baspoly_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444324K) : baspoly_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444452K) : psd_drw has 2 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444580K) : nldb_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444708K) : digibnd_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444836K) : via1_drw has 15 polygons
2026-02-26 17:58:10 +0100: Memory Usage (444964K) : backmetal1_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445092K) : backmetal1_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445220K) : backmetal1_mask has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445348K) : backmetal1_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445476K) : backmetal1_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445604K) : backmetal1_slit has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445604K) : backmetal1_text has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445732K) : backmetal1_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445860K) : backmetal1_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445988K) : backmetal1_res has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (445988K) : backmetal1_iprobe has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (446116K) : backmetal1_diffprb has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (446244K) : backpassiv_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (446372K) : res_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (446500K) : sram_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (446628K) : trans_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (446756K) : ind_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (446884K) : ind_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447012K) : ind_text has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447012K) : salblock_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : via2_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_mask has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_slit has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_text has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_res has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_iprobe has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal3_diffprb has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : nwell_drw has 1 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : nwell_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : nbulay_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : nbulay_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : nbulay_block has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : emwind_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : emwind_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : deepco_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : deepco_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : mim_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : edgeseal_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : edgeseal_bound has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : substrate_drw has 8 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : substrate_text has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : dfpad_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : dfpad_pillar has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : dfpad_sbump has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : thickgateox_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : pldb_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : pwell_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : pwell_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : pwell_block has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : ic_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : via3_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_mask has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_slit has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_text has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_res has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_iprobe has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal4_diffprb has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : heattrans_drw has 16 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : heatres_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : pempoly_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : fbe_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : empoly_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : ldmos_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : pbiwind_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : digisub_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : nodrc_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : text_drw has 17 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : via4_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_mask has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_slit has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_text has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_res has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_iprobe has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : metal5_diffprb has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : radhard_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : memcap_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : varicap_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (447140K) : flash_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : intbondvia_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : intbondmet_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : devbondvia_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : devbondmet_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : devtrench_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : redist_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : graphbot_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : graphtop_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : antvia1_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : antmetal2_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : graphcont_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : siwg_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : siwg_filler has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447140K) : siwg_nofill has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447268K) : sigrating_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447268K) : singrating_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447396K) : graphpas_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : emwind3_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : emwihv3_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : redbulay_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : smos_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphpad_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : polimide_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : polimide_pin has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_pin has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_esd has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_diode has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_tsv has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_iprobe has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_diffprb has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_pillar has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_sbump has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_otp has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_pdiode has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_mom has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : recog_pcm has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : colopen_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmetal1_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmetal1_filler has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmetal1_nofill has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmetal1_slit has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmetal1_opc has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmet1l_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmet1l_filler has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmet1l_nofill has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmet1l_slit has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphmet1l_opc has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : extblock_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : nldd_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : pldd_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : next_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : pext_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : nexthv_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : pexthv_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : graphgate_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : sinwg_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : sinwg_filler has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : sinwg_nofill has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : mempad_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topvia1_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_pin has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_mask has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_filler has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_nofill has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_slit has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_text has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_noqrc has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_res has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_iprobe has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal1_diffprb has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : inldpwl_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : polyres_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : polyres_pin has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : vmim_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : nbulaycut_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : antmetal1_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topvia2_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal2_drw has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal2_pin has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal2_mask has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal2_filler has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal2_nofill has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal2_slit has 0 polygons
2026-02-26 17:58:11 +0100: Memory Usage (447524K) : topmetal2_text has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : topmetal2_noqrc has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : topmetal2_res has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : topmetal2_iprobe has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : topmetal2_diffprb has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : snsring_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : sensor_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : snsarms_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : snscmosvia_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : colwind_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : flm_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : hafniumox_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : memvia_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : thinfilmres_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : rfmem_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m2m3 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m2m4 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m2m5 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m2tm1 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m2tm2 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m3m4 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m3m5 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m3tm1 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m3tm2 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m4m5 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m4tm1 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m4tm2 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m5tm1 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m5tm2 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_tm1tm2 has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m1sub has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m2sub has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m3sub has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m4sub has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_m5sub has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_tm1sub has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : norcx_tm2sub has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : snsbotvia_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : snstopvia_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : deepvia_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : fgetch_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : ctrgat_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : fgimp_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : emwihv_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : lbe_drw has 0 polygons
2026-02-26 17:58:12 +0100: Memory Usage (447524K) : alcustop_drw has 0 polygons
